direction,base_policy,stoploss,abs_cap_quantile,abs_cap_value,cost_bps_roundtrip,n,month_median_picks,win_rate,avg_ret,median_ret,tp20_hit_rate,min_ret,q01_ret,q05_ret
down,gate_pass,10pct_cons,0.6,0.17952251446401601,120.0,0,,,,,,,,
down,gate_pass,10pct_cons,0.7,0.21021081293320373,120.0,0,,,,,,,,
down,gate_pass,10pct_cons,0.8,0.2552029528745443,120.0,0,,,,,,,,
down,gate_pass,10pct_cons,0.9,0.3400529522369209,120.0,3,1.0,1.0,0.10964971591373489,0.1258430121250797,0.0,0.0474855305466238,0.04905268017819292,0.05532127870446939
down,gate_pass,10pct_cons,0.95,0.4246534063818307,120.0,358,2.0,0.6815642458100558,0.05570729828996944,0.08237417062625735,0.29329608938547486,-0.112,-0.112,-0.112
down,gate_pass,10pct_cons,1.0,0.8655903607237787,120.0,3450,10.0,0.5527536231884058,0.02873697822009589,0.040852525836109,0.3344927536231884,-0.112,-0.112,-0.112
down,top2_per_month,10pct_cons,0.6,0.17952251446401601,120.0,0,,,,,,,,
down,top2_per_month,10pct_cons,0.7,0.21021081293320373,120.0,1,1.0,1.0,0.11777099236641221,0.11777099236641221,0.0,0.11777099236641221,0.11777099236641221,0.11777099236641221
down,top2_per_month,10pct_cons,0.8,0.2552029528745443,120.0,9,3.0,0.6666666666666666,0.059831060911994784,0.11777099236641221,0.2222222222222222,-0.112,-0.112,-0.112
down,top2_per_month,10pct_cons,0.9,0.3400529522369209,120.0,98,1.0,0.6530612244897959,0.04755529723320174,0.055085295656724154,0.2755102040816326,-0.112,-0.112,-0.112
down,top2_per_month,10pct_cons,0.95,0.4246534063818307,120.0,614,3.0,0.6172638436482085,0.036907006180716906,0.0500022842863813,0.23289902280130292,-0.112,-0.112,-0.112
down,top2_per_month,10pct_cons,1.0,0.8655903607237787,120.0,3424,11.0,0.5408878504672897,0.024774787919094335,0.031442664873613545,0.31863317757009346,-0.112,-0.112,-0.112
