trial_id,timeframe,family,group_col,group_key,mean_primary_return,samples
5bc1dc7596d2,daily,up_cont,cluster_key,10|v0|l1|plow|mrange,-0.06416364826597909,12
5bc1dc7596d2,daily,up_cont,cluster_key,10|v2|l1|plow|mrange,-0.024591300619696166,8
5bc1dc7596d2,daily,up_cont,cluster_key,20|v0|l1|plow|mrange,-0.06151489486108157,17
5bc1dc7596d2,daily,up_cont,cluster_key,30|v0|l2|plow|mrange,-0.056691052618347226,2
9f45073d48b6,daily,bottom,cluster_key,10|v0|l1|plow|mrange,-0.06747720364741637,2
9f45073d48b6,daily,bottom,cluster_key,10|v2|l1|plow|mrange,-0.012649474447880386,8
a64ea3bd562b,daily,bottom,cluster_key,10|v0|l1|plow|mrange,-0.06414047919345847,14
a64ea3bd562b,daily,bottom,cluster_key,10|v2|l1|plow|mrange,-0.025063786298323024,9
a64ea3bd562b,daily,bottom,cluster_key,20|v0|l1|plow|mrange,-0.061492571047447556,13
a64ea3bd562b,daily,bottom,cluster_key,30|v0|l2|plow|mrange,-0.05642824269124053,3
ec5688910066,daily,up_cont,cluster_key,10|v0|l1|plow|mrange,-0.06686106541883824,4
ec5688910066,daily,up_cont,cluster_key,10|v1|l1|plow|mrange,0.0149898069312867,1
ec5688910066,daily,up_cont,cluster_key,10|v2|l1|plow|mrange,-0.005379646678857605,28
ec5688910066,daily,up_cont,cluster_key,20|v0|l1|plow|mrange,-0.061518857471239904,5
ec5688910066,daily,up_cont,cluster_key,20|v2|l1|plow|mrange,0.0131208997188378,1
