trial_id,timeframe,family,group_col,group_key,mean_primary_return,samples
5bc1dc7596d2,daily,up_cont,regime_key,mt2_vr0,-0.06805293346708645,4
5bc1dc7596d2,daily,up_cont,regime_key,mt2_vr1,-0.056126593471380916,29
5bc1dc7596d2,daily,up_cont,regime_key,mt2_vr2,-0.037657759581001114,6
9f45073d48b6,daily,bottom,regime_key,mt2_vr0,-0.06747720364741637,2
9f45073d48b6,daily,bottom,regime_key,mt2_vr1,-0.004617877549761749,5
9f45073d48b6,daily,bottom,regime_key,mt2_vr2,-0.026035469278078118,3
a64ea3bd562b,daily,bottom,regime_key,mt2_vr0,-0.06747720364741637,2
a64ea3bd562b,daily,bottom,regime_key,mt2_vr1,-0.05654421943547141,30
a64ea3bd562b,daily,bottom,regime_key,mt2_vr2,-0.03727827810355581,7
ec5688910066,daily,up_cont,regime_key,mt2_vr0,-0.06747720364741637,2
ec5688910066,daily,up_cont,regime_key,mt2_vr1,-0.02110198729576204,22
ec5688910066,daily,up_cont,regime_key,mt2_vr2,-0.006557321439189549,15
