trial_id,timeframe,family,horizon,mean,median,win_rate,samples
5bc1dc7596d2,daily,up_cont,5,-0.07741384434930816,-0.07806239872377675,0.0,38
5bc1dc7596d2,daily,up_cont,10,-0.038035888332940936,-0.0383501203315803,0.0,38
5bc1dc7596d2,daily,up_cont,20,-0.05528885178188143,-0.0738636363636363,0.16666666666666666,36
9f45073d48b6,daily,bottom,5,-0.05482582709660012,-0.0820668693009119,0.2222222222222222,9
9f45073d48b6,daily,bottom,10,-0.040340851644128345,-0.0403127290495968,0.0,9
9f45073d48b6,daily,bottom,20,0.0164499444481032,0.0439775225995602,0.7777777777777778,9
a64ea3bd562b,daily,bottom,5,-0.07782592517567126,-0.07837217713418215,0.0,38
a64ea3bd562b,daily,bottom,10,-0.038214651304130404,-0.03853804748960375,0.0,38
a64ea3bd562b,daily,bottom,20,-0.051865136250531484,-0.07414555863983335,0.19444444444444445,36
ec5688910066,daily,up_cont,5,-0.030409669297925802,-0.0772238514173997,0.40540540540540543,37
ec5688910066,daily,up_cont,10,-0.04004701589648095,-0.0401215805471124,0.0,37
ec5688910066,daily,up_cont,20,0.014283986222909087,0.04379372798663655,0.75,36
