reason_id,open_events,open_units,origin_closed_units,origin_open_units,origin_realized_pnl,origin_unrealized_pnl,origin_total_pnl,origin_unit_win_rate,close_events,close_units,close_realized_pnl,close_unit_win_rate
E_NEW_SWITCH_IN,4,8,8,0,1393606.925029,0.0,1393606.925029,1.0,0,0,0.0,
E_NEW_TOPK_GATE_OK,2,4,4,0,182601.956796,0.0,182601.956796,1.0,0,0,0.0,
A_ADD_STAGE2_STRICT_OK,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
K_MARKET_CLOSED,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
K_NO_SNAPSHOT,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
K_POLICY_INCONSISTENT,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
R_CUT_LOSS_HARD,0,0,0,0,0.0,0.0,0.0,,3,13,-2040208.308127,0.153846
R_CUT_LOSS_WARN,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
R_GAME_OVER,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
R_MAX_HOLDINGS_BLOCK,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
S_SWITCH_CAPACITY,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
S_SWITCH_EV_GAP,0,0,0,0,0.0,0.0,0.0,,6,24,1002800.610936,0.916667
S_SWITCH_RISK_AVOID,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
T_TP_PARTIAL_3_TO_2,0,0,0,0,0.0,0.0,0.0,,2,4,1221802.034093,1.0
T_TP_PARTIAL_5_TO_3,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
T_TP_REV_RISK_RISING,0,0,0,0,0.0,0.0,0.0,,2,5,0.0,0.0
T_TP_TARGET_REACHED,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
X_EXIT_EV_DROP,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
X_EXIT_GATE_NG,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
X_EXIT_REV_RISK_HIGH,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
X_EXIT_TIME_LIMIT,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
X_EXIT_UPPROB_DROP,0,0,0,0,0.0,0.0,0.0,,0,0,0.0,
E_NEW_TOP1_GATE_OK,3,6,4,2,-76372.315036,0.0,-76372.315036,0.0,0,0,0.0,
A_ADD_PROBE_TO_ADD_OK,6,18,15,3,-591485.792161,80322.580645,-511163.211516,0.5,0,0,0.0,
A_ADD_ADD_TO_MAIN_OK,6,30,15,15,-723956.437726,-387849.89192,-1111806.329646,0.333333,0,0,0.0,
