asof_date,code
2021-01-29,1001
2021-01-29,2002
2021-01-29,3003
2021-01-29,4004
2021-02-26,1001
2021-02-26,2002
2021-02-26,3003
2021-02-26,4004
2021-03-31,1001
2021-03-31,2002
2021-03-31,3003
2021-03-31,4004
2021-04-30,1001
2021-04-30,2002
2021-04-30,3003
2021-04-30,4004
2021-05-31,1001
2021-05-31,2002
2021-05-31,3003
2021-05-31,4004
2021-06-30,1001
2021-06-30,2002
2021-06-30,3003
2021-06-30,4004
2021-07-30,1001
2021-07-30,2002
2021-07-30,3003
2021-07-30,4004
2021-08-31,1001
2021-08-31,2002
2021-08-31,3003
2021-08-31,4004
2021-09-30,1001
2021-09-30,2002
2021-09-30,3003
2021-09-30,4004
2021-10-29,1001
2021-10-29,2002
2021-10-29,3003
2021-10-29,4004
2021-11-30,1001
2021-11-30,2002
2021-11-30,3003
2021-11-30,4004
2021-12-31,1001
2021-12-31,2002
2021-12-31,3003
2021-12-31,4004
2022-01-31,1001
2022-01-31,2002
2022-01-31,3003
2022-01-31,4004
2022-02-28,1001
2022-02-28,2002
2022-02-28,3003
2022-02-28,4004
2022-03-31,1001
2022-03-31,2002
2022-03-31,3003
2022-03-31,4004
2022-04-29,1001
2022-04-29,2002
2022-04-29,3003
2022-04-29,4004
2022-05-31,1001
2022-05-31,2002
2022-05-31,3003
2022-05-31,4004
2022-06-30,1001
2022-06-30,2002
2022-06-30,3003
2022-06-30,4004
2022-07-29,1001
2022-07-29,2002
2022-07-29,3003
2022-07-29,4004
2022-08-31,1001
2022-08-31,2002
2022-08-31,3003
2022-08-31,4004
2022-09-30,1001
2022-09-30,2002
2022-09-30,3003
2022-09-30,4004
2022-10-31,1001
2022-10-31,2002
2022-10-31,3003
2022-10-31,4004
2022-11-30,1001
2022-11-30,2002
2022-11-30,3003
2022-11-30,4004
2022-12-30,1001
2022-12-30,2002
2022-12-30,3003
2022-12-30,4004
2023-01-31,1001
2023-01-31,2002
2023-01-31,3003
2023-01-31,4004
2023-02-28,1001
2023-02-28,2002
2023-02-28,3003
2023-02-28,4004
2023-03-31,1001
2023-03-31,2002
2023-03-31,3003
2023-03-31,4004
2023-04-28,1001
2023-04-28,2002
2023-04-28,3003
2023-04-28,4004
2023-05-31,1001
2023-05-31,2002
2023-05-31,3003
2023-05-31,4004
2023-06-30,1001
2023-06-30,2002
2023-06-30,3003
2023-06-30,4004
2023-07-31,1001
2023-07-31,2002
2023-07-31,3003
2023-07-31,4004
2023-08-31,1001
2023-08-31,2002
2023-08-31,3003
2023-08-31,4004
2023-09-29,1001
2023-09-29,2002
2023-09-29,3003
2023-09-29,4004
2023-10-31,1001
2023-10-31,2002
2023-10-31,3003
2023-10-31,4004
2023-11-30,1001
2023-11-30,2002
2023-11-30,3003
2023-11-30,4004
2023-12-29,1001
2023-12-29,2002
2023-12-29,3003
2023-12-29,4004
